ID,d2H.irms,d18O.irms
CLBJ6-D-5,-7,0.5
CLBJ6-A-2,-9,-1.7
SJER5-B-3,-73,-6.9
SJER5-A-3,-64,-6.9
SJER5-C-2,-44,1.2
SJER5-C-4,-66,-5.3
SJER5-B-4,-58,-2.9
SJER5-A-2,-63,-5.8
WOOD6-A-4,-62,-7.1
WOOD6-deep-2,-54,-5.3
WOOD6-D-1,-80,-8.7
WOOD6-D-4,-71,-9
WOOD6-B-2,-78,-9
WOOD6-010-2,-58,-6.8
WOOD6-B-5,-55,-7.4
TALL6-B-5,-28,-3.4
TALL6-deep-3,-19,-3.3
TALL6-1020-1,-32,-4.3
TALL6-3040-1,-24,-3.5
TALL6-C-4,-35,-4.6
TALL6-C-1,-33,-4.1
TALL6-D-2,-35,-3.7
TALL6-B-4,-28,-4.7
TALL6-D-3,-26,-3.7
CLBJ5-3040-3,-18,-4
CLBJ4-E-3,-38,-4.3
CLBJ4-C-3,-17,-2.5
CLBJ4-deep-3,-39,-4.8
CLBJ5-A-3,-18,-2.3
CLBJ5-C-2,-28,-5.1
CLBJ4-E-1,-44,-4.9
CLBJ5-D-4,-18,-0.7
CLBJ5-2030-3,-25,-4.7
CLBJ5-C-4,-32,-5.5
CLBJ5-E-5,-22,-3.9
UNDE4-B-4,-63,-7.2
UNDE4-A-4,-72,-9.5
UNDE4-D-3,-67,-7.5
UNDE4-2030-2,-53,-7.8
UNDE4-A-2,-65,-7.7
UNDE4-B-5,-84,-10.9
UNDE4-D-5,-86,-10.7
UNDE4-C-3,-79,-10.2
UNDE4-C-4,-66,-5.6
